examy,cat_age,pCT,1 CT(s),2 CT(s),3 CT(s),4 CT(s),5 CT(s),6 CT(s),7 CT(s),8 CT(s),9 CT(s),10 CT(s),11 CT(s),12 CT(s),16 CT(s),21 CT(s),13 CT(s),19 CT(s),14 CT(s),15 CT(s),17 CT(s),25 CT(s),18 CT(s),22 CT(s),20 CT(s)
1979,2,0.00157765768185022,0.798245614035088,0.175438596491228,0.0175438596491228,0.0087719298245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,2,0.00224900137625457,0.767605633802817,0.140845070422535,0.0563380281690141,0.0140845070422535,0.00704225352112676,0,0.00704225352112676,0.00704225352112676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,2,0.00194689671377262,0.763779527559055,0.188976377952756,0.015748031496063,0.0078740157480315,0.015748031496063,0,0,0,0.0078740157480315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,2,0.00212592169894711,0.785714285714286,0.114285714285714,0.0785714285714286,0.00714285714285714,0.00714285714285714,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,2,0.00311055911740682,0.733668341708543,0.190954773869347,0.0552763819095477,0.0100502512562814,0,0.0050251256281407,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,2,0.00503507770803263,0.836158192090395,0.104519774011299,0.0310734463276836,0.0169491525423729,0.00282485875706215,0.00847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,2,0.00806731339442561,0.770459081836327,0.131736526946108,0.0459081836327345,0.0259481037924152,0.00798403193612774,0.00798403193612774,0.00798403193612774,0,0,0.00199600798403194,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,2,0.00854844304208206,0.809009009009009,0.117117117117117,0.0396396396396396,0.00900900900900901,0.0108108108108108,0.0036036036036036,0,0.00540540540540541,0,0.0018018018018018,0.0018018018018018,0.0018018018018018,0,0,0,0,0,0,0,0,0,0,0
1987,2,0.00835822899533416,0.820560747663551,0.106542056074766,0.0280373831775701,0.0186915887850467,0.00934579439252336,0.00934579439252336,0.00186915887850467,0,0,0.00186915887850467,0,0,0.00186915887850467,0.00186915887850467,0,0,0,0,0,0,0,0,0
1988,2,0.00905195081288532,0.856259659969088,0.0942812982998454,0.0262751159196291,0.0139103554868624,0,0.00309119010819165,0.00463678516228748,0,0,0,0,0,0,0,0.00154559505409583,0,0,0,0,0,0,0,0
1989,2,0.00896243832029808,0.851373182552504,0.0807754442649435,0.0355411954765751,0.0161550888529887,0.00646203554119548,0.00161550888529887,0.00323101777059774,0.00161550888529887,0.00161550888529887,0,0.00161550888529887,0,0,0,0,0,0,0,0,0,0,0,0
1990,2,0.00858201022680228,0.856910569105691,0.0894308943089431,0.0292682926829268,0.00975609756097561,0.00975609756097561,0.0016260162601626,0,0.0032520325203252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,2,0.00895124925872467,0.886706948640483,0.0709969788519638,0.0211480362537764,0.00755287009063444,0.00604229607250755,0.00302114803625378,0,0.00302114803625378,0.00151057401812689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,2,0.010036588231345,0.857142857142857,0.0919377652050919,0.0297029702970297,0.00707213578500707,0.00141442715700141,0.00565770862800566,0.00141442715700141,0,0.00141442715700141,0.00282885431400283,0,0,0,0,0.00141442715700141,0,0,0,0,0,0,0,0
1993,2,0.0108869569109239,0.887034659820282,0.0718870346598203,0.0166880616174583,0.0102695763799743,0.00513478818998716,0.00256739409499358,0.00128369704749679,0.00128369704749679,0,0.00128369704749679,0,0,0,0,0,0,0,0,0.00128369704749679,0.00128369704749679,0,0,0
1994,2,0.0133485504570732,0.882533197139939,0.0735444330949949,0.0194075587334014,0.0122574055158325,0.00715015321756895,0.00102145045965271,0,0.00102145045965271,0.00102145045965271,0,0.00204290091930541,0,0,0,0,0,0,0,0,0,0,0,0
1995,2,0.0150828550009511,0.858230256898192,0.093244529019981,0.0180780209324453,0.00951474785918173,0.00475737392959087,0.00761179828734539,0.00190294957183635,0.00285442435775452,0.000951474785918173,0.000951474785918173,0.000951474785918173,0.000951474785918173,0,0,0,0,0,0,0,0,0,0,0
1996,2,0.016157004911998,0.886712095400341,0.0681431005110733,0.0136286201022147,0.0136286201022147,0.010221465076661,0.00255536626916525,0.00170357751277683,0,0.00170357751277683,0.000851788756388416,0.000851788756388416,0,0,0,0,0,0,0,0,0,0,0,0
1997,2,0.0209235451422689,0.863794301598332,0.0813064628214037,0.0208478109798471,0.0118137595552467,0.00903405142460042,0.00416956219596942,0.00138985406532314,0.00347463516330785,0.000694927032661571,0,0.000694927032661571,0.000694927032661571,0.000694927032661571,0,0.000694927032661571,0.000694927032661571,0,0,0,0,0,0,0
1998,2,0.0211137591890168,0.860726072607261,0.0943894389438944,0.0217821782178218,0.0118811881188119,0.00396039603960396,0.00066006600660066,0.00198019801980198,0.0033003300330033,0,0,0,0,0,0,0,0,0.00066006600660066,0.00066006600660066,0,0,0,0,0
1999,2,0.0257124634956866,0.873118279569893,0.0833333333333333,0.0204301075268817,0.0129032258064516,0.0021505376344086,0.0032258064516129,0.000537634408602151,0.00161290322580645,0,0,0.000537634408602151,0,0,0,0.000537634408602151,0,0.0010752688172043,0.000537634408602151,0,0,0,0,0
2000,2,0.0309489443120405,0.857142857142857,0.0899638336347197,0.027124773960217,0.0126582278481013,0.00723327305605787,0.00361663652802893,0,0.000452079566003617,0.000452079566003617,0,0.000452079566003617,0.000904159132007233,0,0,0,0,0,0,0,0,0,0,0
2001,2,0.0353238673872422,0.857758620689655,0.0975705329153605,0.0250783699059561,0.0109717868338558,0.00274294670846395,0.00156739811912226,0.00117554858934169,0.00117554858934169,0,0.000391849529780564,0,0.000783699059561128,0,0,0.000391849529780564,0,0,0.000391849529780564,0,0,0,0,0
2002,2,0.0407505622503441,0.86166551961459,0.0884377150722643,0.0289057123193393,0.00722642807983482,0.00378527185134205,0.0030970406056435,0.00240880935994494,0.00206469373709566,0.000688231245698555,0.000344115622849277,0,0.000344115622849277,0,0,0.000344115622849277,0,0.000344115622849277,0.000344115622849277,0,0,0,0,0
2003,2,0.0432233448580668,0.859843546284224,0.0876792698826597,0.0254237288135593,0.0133637548891786,0.00586701434159061,0.00260756192959583,0.00162972620599739,0.00130378096479791,0.000651890482398957,0.000325945241199478,0.000651890482398957,0.000325945241199478,0,0,0,0,0,0,0,0,0,0.000325945241199478,0
2004,2,0.0438834994908977,0.861022364217252,0.0884984025559105,0.0255591054313099,0.0121405750798722,0.00351437699680511,0.00415335463258786,0.00159744408945687,0.000638977635782748,0.000958466453674121,0.000958466453674121,0.000638977635782748,0,0,0,0,0,0,0,0,0,0.000319488817891374,0,0
2005,2,0.0556991485124143,0.869285890783296,0.0872251050160613,0.020261922411663,0.00914257474672597,0.00568322213985668,0.00420064245119842,0.00123548307388189,0.00123548307388189,0.00098838645910551,0.000494193229552755,0,0.000247096614776378,0,0,0,0,0,0,0,0,0,0,0
2006,2,0.0686896489991384,0.866385372714487,0.0908177617038377,0.0227044404259594,0.0070323488045007,0.00482218203737191,0.00281293952180028,0.00140646976090014,0.0016073940124573,0.000803697006228652,0.000602772754671489,0,0.000803697006228652,0,0,0.000200924251557163,0,0,0,0,0,0,0,0
2007,2,0.0752911953274479,0.873209169054441,0.0900787965616046,0.019878223495702,0.00734240687679083,0.00447707736389685,0.00250716332378224,0.00089541547277937,0,0.000358166189111748,0.000358166189111748,0.000179083094555874,0,0,0,0.000358166189111748,0,0.000179083094555874,0,0.000179083094555874,0,0,0,0
2008,2,0.0755485437436362,0.879083806818182,0.0868252840909091,0.0179332386363636,0.00799005681818182,0.00319602272727273,0.00142045454545455,0.00106534090909091,0.000532670454545455,0.000355113636363636,0.000532670454545455,0.000177556818181818,0.000177556818181818,0,0,0.000177556818181818,0,0,0.000177556818181818,0.000177556818181818,0,0,0,0.000177556818181818
2009,2,0.0778087341814642,0.879380741748894,0.0888057162300102,0.0173528411024158,0.00714528751275944,0.00357264375637972,0.00187138482477033,0.000850629465804695,0.000170125893160939,0.000340251786321878,0.000170125893160939,0.000170125893160939,0,0,0,0,0,0.000170125893160939,0,0,0,0,0,0
2010,2,0.0815682588701286,0.86376427743751,0.101638801522927,0.0182089058102963,0.00926998841251448,0.00281410362522761,0.00115874855156431,0.00115874855156431,0.00066214202946532,0.00066214202946532,0.00016553550736633,0.00016553550736633,0.00016553550736633,0,0,0.00016553550736633,0,0,0,0,0,0,0,0
2011,2,0.0822396025645329,0.8633069828722,0.104084321475626,0.0179512516469038,0.00658761528326746,0.00263504611330698,0.00214097496706192,0.000658761528326746,0.000658761528326746,0.000658761528326746,0.000164690382081686,0.000164690382081686,0.000329380764163373,0,0,0.000164690382081686,0,0.000329380764163373,0,0.000164690382081686,0,0,0,0
2012,2,0.0791961778165665,0.854430379746835,0.113239822100582,0.0172767704413274,0.00803968525487513,0.00239479986315429,0.00239479986315429,0.000684228532329798,0.000684228532329798,0.00017105713308245,0.00017105713308245,0.00017105713308245,0.000342114266164899,0,0,0,0,0,0,0,0,0,0,0
